CustomerID,Name,Gender,Age,Address,Email,Annual Income (k$),Spending Score (1-100)
1,Le Huy Hoang,Male,22,Ha Noi,lehuyhoang@gmail.com,15,39
2,Nguyen Thi Mai,Female,45,Ho Chi Minh City,nguyenthimai@email.com,,81
3,Tran Van An,Male,33,Thanh Hoa,trvanan@gmail.com,45,6
4,Pham Thi Hien,Female,60,Da Nang,hienpham@email.com,60,-77
5,Nguyen Van Long,Male,-35,Hai Phong,longnguyen@gmail.com,80,13
6,Le Thi Thu Ha,Female,40,Can Tho,halethu@email.com,90,79
7,Vo Minh Hieu,Male,50,Ho Chi Minh City,hieuvo@email.com,85,5
8,Nguyen Thi Thu,Female,55,Ha Noi,thunguyen@email.com,70,95
9,Tran Van Thanh,Male,70,Quang Nam,thanhtran@gmail.com,65,24
10,Le Thi Lan Anh,Female,,Hai Duong,lananhle@email.com,75,10
11,Do Duy An,Male,75,Bac Ninh,ando@email.com,85,75
12,Tran Thi Mai,Female,30,Hai Phong,maithi@email.com,,36
13,Nguyen Van Binh,Male,64,Da Nang,binhnguyen@email.com,35,28
14,Pham Thi Thuy Linh,Female,34,Quang Ninh,linhpham@email.com,40,99
15,Nguyen Van Khanh,Male,23,Thanh Hoa,khanhnguyen@email.com,45,17
16,Tran Thi Thu Ha,Female,28,Ho Chi Minh City,hathutr@email.com,50,88
17,Le Van Phuc,Male,18,Hai Phong,phucle@email.com,65,12
18,Nguyen Thi Hoa,Female,48,Ha Noi,hoanguyen@email.com,70,85
19,Tran Minh Quan,Male,,Ho Chi Minh City,quantran@email.com,75,34
20,Nguyen Thanh Thao,Female,59,Da Nang,thanhthao@email.com,85,15
21,Tran Thi Kim Ngan,Female,57,Can Tho,kimngantran@email.com,90,64
22,Le Duc Hieu,Male,29,Ho Chi Minh City,hieule@email.com,,45
23,Nguyen Thi Minh Chau,Female,73,Hai Phong,minhchau@email.com,25,24
24,Tran Van Tuan,Male,-26,Quang Nam,tuantran@email.com,30,35
25,Pham Thi Ngoc Anh,Female,38,Hai Duong,anhpham@email.com,35,67
26,Nguyen Van Hung,Male,69,Bac Ninh,hungnguyen@email.com,40,91
27,Le Thi Hong Hanh,Female,31,Thanh Hoa,hongle@email.com,45,8
28,Vo Van Phong,Male,77,Ho Chi Minh City,phongvo@email.com,50,
29,Nguyen Thi Bich,Female,42,Hai Phong,bichnguyen@email.com,55,3
30,Tran Duc Anh,Male,47,Da Nang,anhtran@email.com,60,98
31,Pham Thi Ha Lan,Female,39,Can Tho,lanpham@email.com,65,23
32,Nguyen Van Hieu,Male,51,Ho Chi Minh City,hieunguyen@email.com,70,45
33,Tran Thi Ngoc Tram,Female,79,Ha Noi,ngoctramtran@email.com,75,77
34,Le Van Son,Male,-37,Quang Nam,sonle@email.com,80,2
35,Nguyen Thi Huong,Female,27,Hai Duong,huongnguyen@email.com,,89
36,Tran Van Nam,Male,72,Bac Ninh,namtran@email.com,90,47
37,Pham Thi Thanh Nga,Female,41,Thanh Hoa,ngathanh@email.com,95,13
38,Nguyen Van Cuong,Male,65,Ho Chi Minh City,cuongnguyen@email.com,25,83
39,Le Thi Thuy Trang,Female,36,Hai Phong,trangle@email.com,30,17
40,Vo Minh Quan,Male,53,Da Nang,minhquanvo@email.com,35,92
41,Nguyen Thi Thanh Van,Female,44,Can Tho,vanthanhnguyen@email.com,40,-59
42,Tran Van Binh,Male,49,Ho Chi Minh City,binhtran@email.com,45,21
43,Le Thi Mai Anh,Female,74,Ha Noi,anhle@email.com,50,66
44,Nguyen Van Huy,Male,20,Quang Nam,huynguyen@email.com,55,24
45,Tran Thi Ngoc Mai,Female,52,Hai Duong,ngocmaitran@email.com,60,91
46,Le Van Khoa,Male,,Thanh Hoa,khoale@email.com,,8
47,Nguyen Thi Thuy Duong,Female,76,Ha Noi,thuyduongnguyen@email.com,70,79
48,Tran Van Khanh,Male,68,Ho Chi Minh City,khanhtran@email.com,75,28
49,Pham Thi Thu Hang,Female,56,Hai Phong,hangpham@email.com,80,74
50,Nguyen Van Phuc,Male,63,Da Nang,phucnguyen@email.com,85,15
51,Le Thi Thu Trang,Female,25,Ho Chi Minh City,trangle@email.com,,17
52,Nguyen Van Hieu,Male,32,Da Nang,hieuvo@email.com,50,72
53,Tran Van Anh,Female,55,Hai Phong,anhtran@email.com,60,98
54,Pham Thi Lan,Female,40,Bac Ninh,lanpham@email.com,65,23
55,Nguyen Van Cuong,Male,44,Quang Nam,cuongnguyen@email.com,70,45
56,Le Thi Thanh Nga,Female,51,Ha Noi,ngathanh@email.com,75,77
